site,season,week,slate_id,slate_type,player_id,player_name,position,roster_role,slate_format,final_projection,actual_fpts,error,abs_error,source,logged_at
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0037744,Trey McBride,TE,,classic,10.936001759160748,24.5,13.563998240839252,13.563998240839252,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0036919,Kenny Gainwell,RB,,classic,11.403112575188343,2.8,-8.603112575188344,8.603112575188344,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0036252,Michael Pittman Jr.,WR,,classic,8.31759076412979,8.8,0.482409235870211,0.482409235870211,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0039849,Marvin Harrison Jr.,WR,,classic,6.798699357261681,4.3,-2.498699357261681,2.498699357261681,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0038996,Tucker Kraft,TE,,classic,8.894178404810734,9.5,0.6058215951892656,0.6058215951892656,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0039150,Bryce Young,QB,,classic,14.416641667561551,35.44,21.02335833243845,21.02335833243845,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0040128,Tyler Warren,TE,,classic,8.080492369425265,10.3,2.219507630574736,2.219507630574736,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0037664,Alec Pierce,WR,,classic,10.898483956169004,10.1,-0.7984839561690045,0.7984839561690045,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,DST_CHI,Bears,DST,,classic,7.2188007795,6.0,-1.2188007795000004,1.2188007795000004,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,DST_DET,Lions,DST,,classic,8.14418262,10.0,1.8558173799999995,1.8558173799999995,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0038997,Josh Downs,WR,,classic,8.802792380535971,5.7,-3.1027923805359707,3.1027923805359707,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
