Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,name,site,salary,normalized_name,normalized_team,position_upper,slate_format,player_id,match_method,match_confidence
RB,Jaydon Blue (44096017),Jaydon Blue,44096017,RB/FLEX,4000,WAS@PHI 09/13/2026 04:25PM ET,PHI,4.1,,Jaydon Blue,dk,4000,jaydon blue,PHI,RB,classic,00-0040586,auto_fallback_team_mismatch,medium
RB,Jermar Jefferson (44096019),Jermar Jefferson,44096019,RB/FLEX,4000,GB@MIN 09/13/2026 04:25PM ET,MIN,0.0,IR,Jermar Jefferson,dk,4000,jermar jefferson,MIN,RB,classic,00-0036670,auto_exact,high
RB,DeeJay Dallas (44096021),DeeJay Dallas,44096021,RB/FLEX,4000,GB@MIN 09/13/2026 04:25PM ET,MIN,0.4,,DeeJay Dallas,dk,4000,deejay dallas,MIN,RB,classic,00-0036425,auto_fallback_team_mismatch,medium
RB,Max Bredeson (44096023),Max Bredeson,44096023,RB/FLEX,4000,GB@MIN 09/13/2026 04:25PM ET,MIN,0.0,,Max Bredeson,dk,4000,max bredeson,MIN,RB,classic,00-0041081,auto_exact,high
RB,Pierre Strong Jr. (44096025),Pierre Strong Jr.,44096025,RB/FLEX,4000,GB@MIN 09/13/2026 04:25PM ET,GB,0.0,Q,Pierre Strong Jr.,dk,4000,pierre strong,GB,RB,classic,00-0038098,auto_exact,high
WR,Tre Tucker (44096063),Tre Tucker,44096063,WR/FLEX,4000,MIA@LV 09/13/2026 04:25PM ET,LV,9.7,,Tre Tucker,dk,4000,tre tucker,LV,WR,classic,00-0038563,auto_exact,high
TE,Chig Okonkwo (44096183),Chig Okonkwo,44096183,TE/FLEX,4000,WAS@PHI 09/13/2026 04:25PM ET,WAS,7.3,,Chig Okonkwo,dk,4000,chig okonkwo,WAS,TE,classic,00-0037809,auto_fallback_team_mismatch,medium
RB,Damon Bankston (44104572),Damon Bankston,44104572,RB/FLEX,4000,GB@MIN 09/13/2026 04:25PM ET,GB,0.0,,Damon Bankston,dk,4000,damon bankston,GB,RB,classic,00-0041139,auto_exact,high
WR,Tre' Harris (44096065),Tre' Harris,44096065,WR/FLEX,3800,ARI@LAC 09/13/2026 04:25PM ET,LAC,4.1,,Tre' Harris,dk,3800,tre harris,LAC,WR,classic,00-0040727,auto_exact,high
WR,Hollywood Brown (44096067),Hollywood Brown,44096067,WR/FLEX,3800,WAS@PHI 09/13/2026 04:25PM ET,PHI,8.6,,Hollywood Brown,dk,3800,hollywood brown,PHI,WR,classic,,,
WR,Jack Bech (44096069),Jack Bech,44096069,WR/FLEX,3600,MIA@LV 09/13/2026 04:25PM ET,LV,2.7,,Jack Bech,dk,3600,jack bech,LV,WR,classic,00-0040729,auto_exact,high
