Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,name,site,salary,normalized_name,normalized_team,position_upper,slate_format,player_id,match_method,match_confidence
RB,Ray Davis (44246872),Ray Davis,44246872,RB/FLEX,4400,LAC@BUF 09/27/2026 01:00PM ET,BUF,0.2,,Ray Davis,dk,4400,ray davis,BUF,RB,classic,00-0039875,auto_exact,high
WR,Malachi Fields (44247084),Malachi Fields,44247084,WR/FLEX,4400,TEN@NYG 09/27/2026 01:00PM ET,NYG,4.8,,Malachi Fields,dk,4400,malachi fields,NYG,WR,classic,00-0041042,auto_exact,high
WR,Xavier Worthy (44247086),Xavier Worthy,44247086,WR/FLEX,4400,KC@MIA 09/27/2026 01:00PM ET,KC,9.2,,Xavier Worthy,dk,4400,xavier worthy,KC,WR,classic,00-0039894,auto_exact,high
RB,Kaytron Allen (44246874),Kaytron Allen,44246874,RB/FLEX,4300,SEA@WAS 09/27/2026 01:00PM ET,WAS,2.0,,Kaytron Allen,dk,4300,kaytron allen,WAS,RB,classic,00-0041096,auto_exact,high
RB,Sione Vaki (44246876),Sione Vaki,44246876,RB/FLEX,4300,NYJ@DET 09/27/2026 01:00PM ET,DET,2.9,,Sione Vaki,dk,4300,sione vaki,DET,RB,classic,00-0039364,auto_exact,high
RB,Keaton Mitchell (44246878),Keaton Mitchell,44246878,RB/FLEX,4300,LAC@BUF 09/27/2026 01:00PM ET,LAC,2.9,,Keaton Mitchell,dk,4300,keaton mitchell,LAC,RB,classic,00-0038454,auto_fallback_team_mismatch,medium
WR,KC Concepcion Jr. (44247088),KC Concepcion Jr.,44247088,WR/FLEX,4300,CAR@CLE 09/27/2026 01:00PM ET,CLE,8.5,,KC Concepcion Jr.,dk,4300,kc concepcion,CLE,WR,classic,00-0041547,auto_exact,high
WR,Adonai Mitchell (44247090),Adonai Mitchell,44247090,WR/FLEX,4300,NYJ@DET 09/27/2026 01:00PM ET,NYJ,10.7,,Adonai Mitchell,dk,4300,adonai mitchell,NYJ,WR,classic,00-0039890,auto_exact,high
WR,Keon Coleman (44247092),Keon Coleman,44247092,WR/FLEX,4300,LAC@BUF 09/27/2026 01:00PM ET,BUF,6.7,,Keon Coleman,dk,4300,keon coleman,BUF,WR,classic,00-0039901,auto_exact,high
TE,Sam LaPorta (44247370),Sam LaPorta,44247370,TE/FLEX,4300,NYJ@DET 09/27/2026 01:00PM ET,DET,13.5,,Sam LaPorta,dk,4300,sam laporta,DET,TE,classic,00-0039065,auto_exact,high
QB,Shedeur Sanders (44246772),Shedeur Sanders,44246772,QB,4200,CAR@CLE 09/27/2026 01:00PM ET,CLE,0.0,,Shedeur Sanders,dk,4200,shedeur sanders,CLE,QB,classic,00-0040668,auto_exact,high
RB,Devin Singletary (44246880),Devin Singletary,44246880,RB/FLEX,4200,TEN@NYG 09/27/2026 01:00PM ET,NYG,7.4,,Devin Singletary,dk,4200,devin singletary,NYG,RB,classic,00-0035250,auto_exact,high
WR,Rashid Shaheed (44247094),Rashid Shaheed,44247094,WR/FLEX,4200,SEA@WAS 09/27/2026 01:00PM ET,SEA,4.2,,Rashid Shaheed,dk,4200,rashid shaheed,SEA,WR,classic,00-0037545,auto_exact,high
WR,Mack Hollins (44247096),Mack Hollins,44247096,WR/FLEX,4200,NE@JAX 09/27/2026 01:00PM ET,NE,6.5,,Mack Hollins,dk,4200,mack hollins,NE,WR,classic,00-0033555,auto_exact,high
WR,Malik Washington (44247098),Malik Washington,44247098,WR/FLEX,4200,KC@MIA 09/27/2026 01:00PM ET,MIA,8.0,,Malik Washington,dk,4200,malik washington,MIA,WR,classic,00-0039880,auto_exact,high
TE,Dalton Schultz (44247372),Dalton Schultz,44247372,TE/FLEX,4200,HOU@IND 09/27/2026 01:00PM ET,HOU,18.3,,Dalton Schultz,dk,4200,dalton schultz,HOU,TE,classic,00-0034383,auto_exact,high
RB,Tyrone Tracy Jr. (44246882),Tyrone Tracy Jr.,44246882,RB/FLEX,4100,TEN@NYG 09/27/2026 01:00PM ET,NYG,0.2,,Tyrone Tracy Jr.,dk,4100,tyrone tracy,NYG,RB,classic,00-0039384,auto_exact,high
RB,Seth McGowan (44246884),Seth McGowan,44246884,RB/FLEX,4100,HOU@IND 09/27/2026 01:00PM ET,IND,0.5,,Seth McGowan,dk,4100,seth mcgowan,IND,RB,classic,00-0041125,auto_exact,high
RB,Samaje Perine (44246886),Samaje Perine,44246886,RB/FLEX,4100,CIN@PIT 09/27/2026 01:00PM ET,CIN,5.6,,Samaje Perine,dk,4100,samaje perine,CIN,RB,classic,00-0033526,auto_exact,high
WR,Antonio Williams (44247100),Antonio Williams,44247100,WR/FLEX,4100,SEA@WAS 09/27/2026 01:00PM ET,WAS,10.9,,Antonio Williams,dk,4100,antonio williams,WAS,WR,classic,00-0041040,auto_exact,high
WR,Darnell Mooney (44247102),Darnell Mooney,44247102,WR/FLEX,4100,TEN@NYG 09/27/2026 01:00PM ET,NYG,5.8,,Darnell Mooney,dk,4100,darnell mooney,NYG,WR,classic,00-0036309,auto_fallback_team_mismatch,medium
QB,Athan Kaliakmanis (44246773),Athan Kaliakmanis,44246773,QB,4000,SEA@WAS 09/27/2026 01:00PM ET,WAS,0.0,,Athan Kaliakmanis,dk,4000,athan kaliakmanis,WAS,QB,classic,00-0041117,auto_exact,high
QB,Sam Hartman (44246774),Sam Hartman,44246774,QB,4000,SEA@WAS 09/27/2026 01:00PM ET,WAS,0.0,,Sam Hartman,dk,4000,sam hartman,WAS,QB,classic,00-0039677,auto_exact,high
