Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,name,site,salary,normalized_name,normalized_team,position_upper,player_id,match_method,match_confidence
WR,Sterling Shepard (43670322),Sterling Shepard,43670322,WR/FLEX,3000,MIN@TB 07/30/2026 12:00PM ET,TB,0.0,,Sterling Shepard,dk,3000,sterling shepard,TB,WR,00-0032385,auto_exact,high
WR,Jamal Agnew (43670324),Jamal Agnew,43670324,WR/FLEX,3000,ATL@PIT 07/30/2026 04:00PM ET,ATL,0.1,,Jamal Agnew,dk,3000,jamal agnew,ATL,WR,00-0033572,auto_exact,high
WR,Tai Felton (43670326),Tai Felton,43670326,WR/FLEX,3000,MIN@TB 07/30/2026 12:00PM ET,MIN,0.0,,Tai Felton,dk,3000,tai felton,MIN,WR,00-0040154,auto_exact,high
WR,Scotty Miller (43670328),Scotty Miller,43670328,WR/FLEX,3000,ATL@PIT 07/30/2026 04:00PM ET,PIT,0.0,,Scotty Miller,dk,3000,scotty miller,PIT,WR,00-0035298,manual_override,high
WR,Chimere Dike (43670330),Chimere Dike,43670330,WR/FLEX,3000,GB@TEN 07/30/2026 02:00PM ET,TEN,0.0,,Chimere Dike,dk,3000,chimere dike,TEN,WR,00-0040705,auto_exact,high
WR,Ben Skowronek (43670332),Ben Skowronek,43670332,WR/FLEX,3000,ATL@PIT 07/30/2026 04:00PM ET,PIT,0.0,,Ben Skowronek,dk,3000,ben skowronek,PIT,WR,00-0036862,auto_exact,high
WR,Savion Williams (43670334),Savion Williams,43670334,WR/FLEX,3000,GB@TEN 07/30/2026 02:00PM ET,GB,0.0,,Savion Williams,dk,3000,savion williams,GB,WR,00-0040009,auto_exact,high
WR,Xavier Restrepo (43670336),Xavier Restrepo,43670336,WR/FLEX,3000,GB@TEN 07/30/2026 02:00PM ET,TEN,0.0,,Xavier Restrepo,dk,3000,xavier restrepo,TEN,WR,00-0040522,auto_exact,high
WR,Casey Washington (43670338),Casey Washington,43670338,WR/FLEX,3000,ATL@PIT 07/30/2026 04:00PM ET,ATL,0.0,,Casey Washington,dk,3000,casey washington,ATL,WR,00-0039394,auto_exact,high
WR,Myles Price (43670340),Myles Price,43670340,WR/FLEX,3000,MIN@TB 07/30/2026 12:00PM ET,MIN,0.0,,Myles Price,dk,3000,myles price,MIN,WR,00-0040506,auto_exact,high
WR,Ryan Miller (43670342),Ryan Miller,43670342,WR/FLEX,3000,MIN@TB 07/30/2026 12:00PM ET,TB,0.0,,Ryan Miller,dk,3000,ryan miller,TB,WR,00-0038824,auto_exact,high
DST,Titans (43670384),Titans,43670384,DST,2900,GB@TEN 07/30/2026 02:00PM ET,TEN,1.9,,Titans,dk,2900,titans,TEN,DST,DST_TEN,team_defense,high
DST,Falcons (43670385),Falcons,43670385,DST,2800,ATL@PIT 07/30/2026 04:00PM ET,ATL,2.5,,Falcons,dk,2800,falcons,ATL,DST,DST_ATL,team_defense,high
TE,Payne Durham (43670356),Payne Durham,43670356,TE/FLEX,2600,MIN@TB 07/30/2026 12:00PM ET,TB,2.2,,Payne Durham,dk,2600,payne durham,TB,TE,00-0039050,auto_exact,high
TE,Jonnu Smith (43670358),Jonnu Smith,43670358,TE/FLEX,2500,ATL@PIT 07/30/2026 04:00PM ET,PIT,0.8,,Jonnu Smith,dk,2500,jonnu smith,PIT,TE,00-0033858,auto_exact,high
TE,Luke Musgrave (43670360),Luke Musgrave,43670360,TE/FLEX,2500,GB@TEN 07/30/2026 02:00PM ET,GB,1.4,,Luke Musgrave,dk,2500,luke musgrave,GB,TE,00-0039144,auto_exact,high
TE,Gunnar Helm (43670362),Gunnar Helm,43670362,TE/FLEX,2500,GB@TEN 07/30/2026 02:00PM ET,TEN,1.5,,Gunnar Helm,dk,2500,gunnar helm,TEN,TE,00-0040584,auto_exact,high
TE,Charlie Woerner (43670364),Charlie Woerner,43670364,TE/FLEX,2500,ATL@PIT 07/30/2026 04:00PM ET,ATL,0.6,,Charlie Woerner,dk,2500,charlie woerner,ATL,TE,00-0036429,auto_exact,high
TE,Josh Oliver (43670366),Josh Oliver,43670366,TE/FLEX,2500,MIN@TB 07/30/2026 12:00PM ET,MIN,1.5,,Josh Oliver,dk,2500,josh oliver,MIN,TE,00-0035249,auto_exact,high
TE,Darnell Washington (43670368),Darnell Washington,43670368,TE/FLEX,2500,ATL@PIT 07/30/2026 04:00PM ET,PIT,0.0,,Darnell Washington,dk,2500,darnell washington,PIT,TE,00-0038558,auto_exact,high
TE,Teagan Quitoriano (43670370),Teagan Quitoriano,43670370,TE/FLEX,2500,ATL@PIT 07/30/2026 04:00PM ET,ATL,0.5,,Teagan Quitoriano,dk,2500,teagan quitoriano,ATL,TE,00-0037277,auto_exact,high
TE,John FitzPatrick (43670372),John FitzPatrick,43670372,TE/FLEX,2500,GB@TEN 07/30/2026 02:00PM ET,GB,0.2,,John FitzPatrick,dk,2500,john fitzpatrick,GB,TE,00-0037306,auto_exact,high
TE,David Martin-Robinson (43670374),David Martin-Robinson,43670374,TE/FLEX,2500,GB@TEN 07/30/2026 02:00PM ET,TEN,0.1,,David Martin-Robinson,dk,2500,david martin robinson,TEN,TE,00-0039648,auto_exact,high
TE,Devin Culp (43670376),Devin Culp,43670376,TE/FLEX,2500,MIN@TB 07/30/2026 12:00PM ET,TB,0.1,,Devin Culp,dk,2500,devin culp,TB,TE,00-0039754,auto_exact,high
TE,Ben Yurosek (43670378),Ben Yurosek,43670378,TE/FLEX,2500,MIN@TB 07/30/2026 12:00PM ET,MIN,0.1,,Ben Yurosek,dk,2500,ben yurosek,MIN,TE,00-0040509,auto_exact,high
