player_id,player_name,position,team,salary,OLD,FIX_NS,FIX,stack_delta,proj_pass_att,act,slate_id,week,sub
00-0039139,Jahmyr Gibbs,RB,DET,8000,23.132488234352945,28.429679619781368,23.034824643467957,-5.394854976313415,0.0,37.6,dk_classic_wk1_early_13Sep2026,1,early
00-0036963,Amon-Ra St. Brown,WR,DET,7500,20.803030613191314,22.061893439287903,20.41839412021008,-1.6434993190778258,0.0,28.7,dk_classic_wk1_early_13Sep2026,1,early
00-0033106,Jared Goff,QB,DET,6000,18.099744876355054,20.19798179988361,17.938016069649315,-2.259965730234299,31.87425,16.44,dk_classic_wk1_early_13Sep2026,1,early
00-0039064,Zay Flowers,WR,BAL,6400,17.99039084993141,19.05198299947151,17.697016664185163,-1.3549663352863457,0.0,29.0,dk_classic_wk1_early_13Sep2026,1,early
00-0036442,Joe Burrow,QB,CIN,6900,17.75749953024162,25.171394785092364,22.53760935209068,-2.6337854330016874,31.4335,15.16,dk_classic_wk1_early_13Sep2026,1,early
00-0032764,Derrick Henry,RB,BAL,6700,16.754822621811236,16.630165696231824,16.887263628580836,0.2570979323490121,0.0,38.3,dk_classic_wk1_early_13Sep2026,1,early
00-0036900,Ja'Marr Chase,WR,CIN,7800,16.51747013282062,16.170911698735626,18.746848476979377,2.575936778243751,0.0,3.2,dk_classic_wk1_early_13Sep2026,1,early
00-0034855,Baker Mayfield,QB,TB,5900,16.057628101010042,18.66513993037601,16.992911412610958,-1.6722285177650529,28.68325,14.64,dk_classic_wk1_early_13Sep2026,1,early
00-0036223,Jonathan Taylor,RB,IND,7300,15.917168127793046,16.39515342540534,17.916356842266907,1.5212034168615671,0.0,26.1,dk_classic_wk1_early_13Sep2026,1,early
00-0040743,Tyler Shough,QB,NO,5600,15.500376748658583,24.687858383399654,18.86055727641844,-5.8273011069812135,35.85925,29.2,dk_classic_wk1_early_13Sep2026,1,early
00-0037239,Chris Olave,WR,NO,6700,15.035294469911932,18.461247234329964,17.34221761674032,-1.1190296175896428,0.0,31.2,dk_classic_wk1_early_13Sep2026,1,early
00-0038597,Chase Brown,RB,CIN,7100,14.592481407063566,15.31899281337488,16.7398427925649,1.4208499791900202,0.0,18.8,dk_classic_wk1_early_13Sep2026,1,early
00-0023459,Aaron Rodgers,QB,PIT,5300,14.2798018500113,17.90432851349292,15.05774955213496,-2.8465789613579595,35.12775,12.54,dk_classic_wk1_early_13Sep2026,1,early
00-0034857,Josh Allen,QB,BUF,7000,14.178941008202775,17.628623810710067,19.46414119084216,1.8355173801320923,32.4945,38.66,dk_classic_wk1_early_13Sep2026,1,early
00-0038542,Bijan Robinson,RB,ATL,7700,14.1450933631623,18.407238244399192,20.05674457420029,1.649506329801099,0.0,31.3,dk_classic_wk1_early_13Sep2026,1,early
00-0040126,Colston Loveland,TE,CHI,5300,14.06655198060482,15.554203116125612,14.174240309024356,-1.3799628071012575,0.0,0.0,dk_classic_wk1_early_13Sep2026,1,early
00-0039150,Bryce Young,QB,CAR,5200,13.954560390742568,19.70338608555772,15.587970116597482,-4.115415968960239,33.58125,35.44,dk_classic_wk1_early_13Sep2026,1,early
00-0039918,Caleb Williams,QB,CHI,6300,13.643881480360996,17.393958792535706,17.495570051937555,0.1016112594018494,35.2185,37.26,dk_classic_wk1_early_13Sep2026,1,early
00-0035640,DK Metcalf,WR,PIT,5400,13.493679353707808,16.732204427550624,13.419597030606482,-3.3126073969441414,0.0,8.0,dk_classic_wk1_early_13Sep2026,1,early
00-0034796,Lamar Jackson,QB,BAL,6800,13.326879037918577,23.76772341842504,21.649699848764484,-2.118023569660558,30.72825,28.96,dk_classic_wk1_early_13Sep2026,1,early
00-0037240,Jameson Williams,WR,DET,6000,13.231887630091457,14.023622673852682,13.219056301974597,-0.8045663718780851,0.0,8.5,dk_classic_wk1_early_13Sep2026,1,early
00-0039361,Bucky Irving,RB,TB,5700,12.938341826642754,16.30778374164172,14.463405445434432,-1.8443782962072888,0.0,21.3,dk_classic_wk1_early_13Sep2026,1,early
00-0035710,Daniel Jones,QB,IND,5400,12.836169319094504,21.318829887247848,16.836030532040624,-4.482799355207224,34.86925,10.04,dk_classic_wk1_early_13Sep2026,1,early
00-0036275,D'Andre Swift,RB,CHI,6100,12.39777680820453,12.91576172849995,13.021289358686351,0.1055276301864012,0.0,35.4,dk_classic_wk1_early_13Sep2026,1,early
00-0036919,Kenny Gainwell,RB,TB,5200,11.985668274584809,15.081671127652712,12.291168600879368,-2.7905025267733468,0.0,2.8,dk_classic_wk1_early_13Sep2026,1,early
00-0035261,Tony Pollard,RB,TEN,5600,11.846817874131334,16.058604568985032,14.033219966906389,-2.025384602078645,0.0,4.4,dk_classic_wk1_early_13Sep2026,1,early
00-0037664,Alec Pierce,WR,IND,5700,11.452314011679684,13.69253567238964,11.96265473465636,-1.7298809377332809,0.0,10.1,dk_classic_wk1_early_13Sep2026,1,early
00-0036971,Trevor Lawrence,QB,JAX,5800,11.33721308366276,14.949095968468423,15.081110981275415,0.1320150128069919,25.2975,26.1,dk_classic_wk1_early_13Sep2026,1,early
